#1	
double	Load(8760,2)
950	719.25
951	736.53
952	729.61
953	746.89
954	760.71
955	774.53
956	805.63
957	833.28
958	871.29
959	871.29
960	878.20
961	867.83
962	864.37
963	874.74
964	871.29
965	854.01
966	867.83
967	847.10
968	840.19
969	836.73
970	816.00
971	805.63
972	802.18
973	798.72
974	791.81
975	822.91
976	812.54
977	826.37
978	843.64
979	850.55
980	850.55
981	860.92
982	867.83
983	892.02
984	923.12
985	950.76
986	971.49
987	992.22
988	995.68
989	1006.05
990	1019.87
991	1019.87
992	1030.23
993	1019.87
994	999.13
995	974.95
996	943.85
997	940.39
998	930.03
999	930.03
1000	933.48
1001	943.85
1002	968.04
1003	1012.96
1004	1044.05
1005	1068.24
1006	1102.80
1007	1133.89
1008	1168.45
1009	1199.55
1010	1223.73
1011	1261.74
1012	1289.39
1013	1296.30
1014	1320.48
1015	1320.48
1016	1317.03
1017	1317.03
1018	1303.21
1019	1213.37
1020	1140.81
1021	1061.33
1022	1037.14
1023	1012.96
1024	1002.59
1025	1040.60
1026	1061.33
1027	1126.98
1028	1130.44
1029	1175.36
1030	1227.19
1031	1227.19
1032	1254.83
1033	1265.20
1034	1254.83
1035	1289.39
1036	1289.39
1037	1279.02
1038	1247.92
1039	1216.82
1040	1189.18
1041	1140.81
1042	1102.80
1043	1088.97
1044	1057.88
1045	1019.87
1046	985.31
1047	988.77
1048	978.40
1049	971.49
1050	971.49
1051	961.13
1052	957.67
1053	950.76
1054	957.67
1055	971.49
1056	974.95
1057	1009.50
1058	1012.96
1059	1012.96
1060	1016.41
1061	1026.78
1062	1033.69
1063	1047.51
1064	1054.42
1065	1054.42
1066	1033.69
1067	1047.51
1068	1023.32
1069	995.68
1070	950.76
1071	926.57
1072	909.29
1073	923.12
1074	933.48
1075	1002.59
1076	1037.14
1077	1071.70
1078	1109.71
1079	1137.35
1080	1147.72
1081	1161.54
1082	1154.63
1083	1154.63
1084	1133.89
1085	1144.26
1086	1158.08
1087	1168.45
1088	1168.45
1089	1113.16
1090	1140.81
1091	1078.61
1092	940.39
1093	874.74
1094	847.10
1095	847.10
1096	843.64
1097	833.28
1098	867.83
1099	874.74
1100	867.83
1101	878.20
1102	864.37
1103	857.46
1104	864.37
1105	864.37
1106	874.74
1107	898.93
1108	881.65
1109	881.65
1110	878.20
1111	867.83
1112	854.01
1113	860.92
1114	843.64
1115	843.64
1116	836.73
1117	816.00
1118	812.54
1119	802.18
1120	809.09
1121	850.55
1122	836.73
1123	860.92
1124	850.55
1125	843.64
1126	847.10
1127	843.64
1128	836.73
1129	822.91
1130	822.91
1131	840.19
1132	833.28
1133	874.74
1134	912.75
1135	926.57
1136	919.66
1137	930.03
1138	919.66
1139	909.29
1140	898.93
1141	871.29
1142	860.92
1143	864.37
1144	878.20
1145	878.20
1146	909.29
1147	916.21
1148	916.21
1149	930.03
1150	926.57
1151	919.66
1152	912.75
1153	926.57
1154	926.57
1155	919.66
1156	943.85
1157	919.66
1158	923.12
1159	933.48
1160	926.57
1161	926.57
1162	905.84
1163	864.37
1164	798.72
1165	771.08
1166	757.26
1167	746.89
1168	750.35
1169	802.18
1170	860.92
1171	902.38
1172	898.93
1173	905.84
1174	905.84
1175	892.02
1176	881.65
1177	864.37
1178	860.92
1179	860.92
1180	847.10
1181	840.19
1182	833.28
1183	826.37
1184	816.00
1185	805.63
1186	784.90
1187	764.17
1188	746.89
1189	726.16
1190	719.25
1191	688.15
1192	681.24
1193	681.24
1194	674.33
1195	670.87
1196	670.87
1197	670.87
1198	663.96
1199	667.42
1200	674.33
1201	670.87
1202	670.87
1203	674.33
1204	677.78
1205	688.15
1206	650.14
1207	674.33
1208	681.24
1209	688.15
1210	715.79
1211	701.97
1212	691.61
1213	688.15
1214	650.14
1215	660.51
1216	674.33
1217	677.78
1218	719.25
1219	771.08
1220	767.62
1221	767.62
1222	798.72
1223	795.27
1224	819.45
1225	798.72
1226	802.18
1227	812.54
1228	812.54
1229	798.72
1230	795.27
1231	805.63
1232	802.18
1233	802.18
1234	788.36
1235	760.71
1236	743.44
1237	739.98
1238	739.98
1239	736.53
1240	753.80
1241	767.62
1242	777.99
1243	743.44
1244	722.70
1245	739.98
1246	750.35
1247	774.53
1248	805.63
1249	788.36
1250	774.53
1251	805.63
1252	812.54
1253	860.92
1254	871.29
1255	871.29
1256	881.65
1257	881.65
1258	874.74
1259	850.55
1260	843.64
1261	833.28
1262	843.64
1263	829.82
1264	867.83
1265	860.92
1266	854.01
1267	857.46
1268	860.92
1269	867.83
1270	867.83
1271	867.83
1272	874.74
1273	867.83
1274	871.29
1275	867.83
1276	871.29
1277	885.11
